,CASES,DATE,NIS5,TX_ADM_DSTR_DESCR_FR,TX_ADM_DSTR_DESCR_NL,TX_DESCR_FR,TX_DESCR_NL,TX_PROV_DESCR_FR,TX_PROV_DESCR_NL,TX_RGN_DESCR_FR,TX_RGN_DESCR_NL,lat,lon
217,<5,2020-03-07,21009.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Ixelles,Elsene,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.8206837552817,4.375337541177958
218,<5,2020-03-07,21013.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Saint-Gilles,Sint-Gillis,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,51.23411267040379,4.112823330239622
219,<5,2020-03-07,21018.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.8484092445705,4.430881717093668
220,<5,2020-03-07,21019.0,Arrondissement de Bruxelles-Capitale,Arrondissement Brussel-Hoofdstad,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,,,Région de Bruxelles-Capitale,Brussels Hoofdstedelijk Gewest,50.83369194644824,4.440542758913281
221,<5,2020-03-07,25112.0,Arrondissement de Nivelles,Arrondissement Nijvel,Wavre,Waver,Province du Brabant wallon,Provincie Waals-Brabant,Région wallonne,Waals Gewest,51.06217610518179,4.536060925276519
222,<5,2020-03-07,31006.0,Arrondissement de Bruges,Arrondissement Brugge,Damme,Damme,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,51.249847403808694,3.3226991176834106
223,<5,2020-03-07,34013.0,Arrondissement de Courtrai,Arrondissement Kortrijk,Harelbeke,Harelbeke,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,50.86258029593081,3.3088146940180074
224,<5,2020-03-07,34041.0,Arrondissement de Courtrai,Arrondissement Kortrijk,Wevelgem,Wevelgem,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,50.82971065615632,3.1629644475364103
225,<5,2020-03-07,36019.0,Arrondissement de Roulers,Arrondissement Roeselare,Staden,Staden,Province de Flandre occidentale,Provincie West-Vlaanderen,Région flamande,Vlaams Gewest,50.95787208706998,3.023439572178827
226,<5,2020-03-07,41018.0,Arrondissement dAlost,Arrondissement Aalst,Grammont,Geraardsbergen,Province de Flandre orientale,Provincie Oost-Vlaanderen,Région flamande,Vlaams Gewest,50.782262798570464,3.9037518188623292
227,<5,2020-03-07,58003.0,Arrondissement de La Louvière,Arrondissement La Louvière,Estinnes,Estinnes,Province du Hainaut,Provincie Henegouwen,Région wallonne,Waals Gewest,,
228,<5,2020-03-07,62063.0,Arrondissement de Liège,Arrondissement Luik,Liège,Luik,Province de Liège,Provincie Luik,Région wallonne,Waals Gewest,51.21612531238215,5.372582588776505
229,<5,2020-03-07,62079.0,Arrondissement de Liège,Arrondissement Luik,Oupeye,Oupeye,Province de Liège,Provincie Luik,Région wallonne,Waals Gewest,,
230,<5,2020-03-07,62093.0,Arrondissement de Liège,Arrondissement Luik,Saint-Nicolas (Liège),Saint-Nicolas (Luik),Province de Liège,Provincie Luik,Région wallonne,Waals Gewest,,
231,<5,2020-03-07,71011.0,Arrondissement de Hasselt,Arrondissement Hasselt,Diepenbeek,Diepenbeek,Province du Limbourg,Provincie Limburg,Région flamande,Vlaams Gewest,50.912714587477616,5.422301162124041
232,<5,2020-03-07,72004.0,Arrondissement de Maaseik,Arrondissement Maaseik,Bree,Bree,Province du Limbourg,Provincie Limburg,Région flamande,Vlaams Gewest,51.14386186332487,5.632949598847368
233,<5,2020-03-07,72043.0,Arrondissement de Maaseik,Arrondissement Maaseik,Pelt,Pelt,Province du Limbourg,Provincie Limburg,Région flamande,Vlaams Gewest,51.214945517817966,5.427243645849569
